 3.5- 4.5 5.8E-06 5.8E-06 5.7E-06 5.6E-06 5.5E-06 5.4E-06 5.2E-06 5.1E-06 4.8E-06 4.6E-06 4.5E-06 4.5E-06 4.5E-06   6.2E-05
 4.5- 5.5 6.3E-07 6.2E-07 5.9E-07 5.5E-07 5.0E-07 4.4E-07 3.8E-07 3.2E-07 2.1E-07 1.4E-07 8.8E-08 5.9E-08 4.5E-08   3.2E-06
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
                                                                            proton production cross section (mb) =6.529E-05
                                                                            proton multiplicity (dimensionless)  =5.914E-06
                                                                            proton average energy (MeV)          =4.227E+00
                                                                            proton kerma coefficient (fGym^2)    =0.000E+00
  
                         7-MeV  protons incident on 208Pb
                        Emission spectrum of    *alphas*
--------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
ANGLE(deg)    0      10      20      30      40      50      60      70      90     110     130     150     180     ANG-INT
ENERGY                                     Double-differential emission spectra (mb/MeV.sr)                        (mb/MeV)
 (MeV)    ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- ------- -------   -------
 0.0- 1.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 1.5- 2.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 2.5- 3.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 3.5- 4.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00   0.0E+00
 4.5- 5.5 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 0.0E+00 1.9E-13 1.0E-12 2.1E-12 2.9E-12   5.4E-12
 5.5- 6.5 1.5E-10 1.5E-10 1.5E-10 1.6E-10 1.6E-10 1.6E-10 1.6E-10 1.6E-10 1.6E-10 1.6E-10 1.6E-10 1.5E-10 1.5E-10   2.0E-09
 6.5- 7.5 1.7E-11 1.7E-11 1.6E-11 1.5E-11 1.4E-11 1.3E-11 1.2E-11 1.2E-11 1.1E-11 1.1E-11 1.1E-11 1.1E-11 1.1E-11   1.5E-10
 7.5- 8.5 2.0E-09 2.0E-09 2.1E-09 2.1E-09 2.3E-09 2.4E-09 2.6E-09 2.8E-09 3.2E-09 3.7E-09 4.1E-09 4.5E-09 4.7E-09   4.1E-08
 8.5- 9.5 2.0E-08 2.0E-08 2.0E-08 2.0E-08 2.0E-08 2.0E-08 2.0E-08 2.0E-08 2.0E-08 2.0E-08 2.0E-08 1.9E-08 1.9E-08   2.5E-07
